,Date,Province_State,Days,Growth Rate,New cases,Total cases
394,2020-01-28,South Carolina,6,0.0,0,0
395,2020-01-28,South Dakota,6,0.0,0,0
396,2020-01-28,Tennessee,6,0.0,0,0
397,2020-01-28,Texas,6,0.0,0,0
398,2020-01-28,Utah,6,0.0,0,0
399,2020-01-28,Vermont,6,0.0,0,0
400,2020-01-28,Virgin Islands,6,0.0,0,0
401,2020-01-28,Virginia,6,0.0,0,0
402,2020-01-28,Washington,6,0.0,0,0
403,2020-01-28,West Virginia,6,0.0,0,0
404,2020-01-28,Wisconsin,6,0.0,0,0
405,2020-01-28,Wyoming,6,0.0,0,0
406,2020-01-29,Alabama,7,0.0,0,0
407,2020-01-29,Alaska,7,0.0,0,0
408,2020-01-29,American Samoa,7,0.0,0,0
409,2020-01-29,Arizona,7,0.0,0,0
410,2020-01-29,Arkansas,7,0.0,0,0
411,2020-01-29,California,7,0.0,0,0
412,2020-01-29,Colorado,7,0.0,0,0
413,2020-01-29,Connecticut,7,0.0,0,0
414,2020-01-29,Delaware,7,0.0,0,0
415,2020-01-29,Diamond Princess,7,0.0,0,0
416,2020-01-29,District of Columbia,7,0.0,0,0
417,2020-01-29,Florida,7,0.0,0,0
418,2020-01-29,Georgia,7,0.0,0,0
419,2020-01-29,Grand Princess,7,0.0,0,0
420,2020-01-29,Guam,7,0.0,0,0
421,2020-01-29,Hawaii,7,0.0,0,0
422,2020-01-29,Idaho,7,0.0,0,0
423,2020-01-29,Illinois,7,0.0,0,0
424,2020-01-29,Indiana,7,0.0,0,0
425,2020-01-29,Iowa,7,0.0,0,0
426,2020-01-29,Kansas,7,0.0,0,0
427,2020-01-29,Kentucky,7,0.0,0,0
428,2020-01-29,Louisiana,7,0.0,0,0
429,2020-01-29,Maine,7,0.0,0,0
430,2020-01-29,Maryland,7,0.0,0,0
431,2020-01-29,Massachusetts,7,0.0,0,0
432,2020-01-29,Michigan,7,0.0,0,0
433,2020-01-29,Minnesota,7,0.0,0,0
434,2020-01-29,Mississippi,7,0.0,0,0
435,2020-01-29,Missouri,7,0.0,0,0
436,2020-01-29,Montana,7,0.0,0,0
437,2020-01-29,Nebraska,7,0.0,0,0
438,2020-01-29,Nevada,7,0.0,0,0
439,2020-01-29,New Hampshire,7,0.0,0,0
440,2020-01-29,New Jersey,7,0.0,0,0
441,2020-01-29,New Mexico,7,0.0,0,0
442,2020-01-29,New York,7,0.0,0,0
443,2020-01-29,North Carolina,7,0.0,0,0
444,2020-01-29,North Dakota,7,0.0,0,0
445,2020-01-29,Northern Mariana Islands,7,0.0,0,0
446,2020-01-29,Ohio,7,0.0,0,0
447,2020-01-29,Oklahoma,7,0.0,0,0
448,2020-01-29,Oregon,7,0.0,0,0
449,2020-01-29,Pennsylvania,7,0.0,0,0
450,2020-01-29,Puerto Rico,7,0.0,0,0
451,2020-01-29,Rhode Island,7,0.0,0,0
452,2020-01-29,South Carolina,7,0.0,0,0
453,2020-01-29,South Dakota,7,0.0,0,0
454,2020-01-29,Tennessee,7,0.0,0,0
455,2020-01-29,Texas,7,0.0,0,0
456,2020-01-29,Utah,7,0.0,0,0
457,2020-01-29,Vermont,7,0.0,0,0
458,2020-01-29,Virgin Islands,7,0.0,0,0
459,2020-01-29,Virginia,7,0.0,0,0
460,2020-01-29,Washington,7,0.0,0,0
461,2020-01-29,West Virginia,7,0.0,0,0
462,2020-01-29,Wisconsin,7,0.0,0,0
463,2020-01-29,Wyoming,7,0.0,0,0
464,2020-01-30,Alabama,8,0.0,0,0
465,2020-01-30,Alaska,8,0.0,0,0
466,2020-01-30,American Samoa,8,0.0,0,0
467,2020-01-30,Arizona,8,0.0,0,0
468,2020-01-30,Arkansas,8,0.0,0,0
469,2020-01-30,California,8,0.0,0,0
470,2020-01-30,Colorado,8,0.0,0,0
471,2020-01-30,Connecticut,8,0.0,0,0
472,2020-01-30,Delaware,8,0.0,0,0
473,2020-01-30,Diamond Princess,8,0.0,0,0
474,2020-01-30,District of Columbia,8,0.0,0,0
475,2020-01-30,Florida,8,0.0,0,0
476,2020-01-30,Georgia,8,0.0,0,0
477,2020-01-30,Grand Princess,8,0.0,0,0
478,2020-01-30,Guam,8,0.0,0,0
479,2020-01-30,Hawaii,8,0.0,0,0
480,2020-01-30,Idaho,8,0.0,0,0
481,2020-01-30,Illinois,8,0.0,0,0
482,2020-01-30,Indiana,8,0.0,0,0
483,2020-01-30,Iowa,8,0.0,0,0
484,2020-01-30,Kansas,8,0.0,0,0
485,2020-01-30,Kentucky,8,0.0,0,0
486,2020-01-30,Louisiana,8,0.0,0,0
487,2020-01-30,Maine,8,0.0,0,0
